bias,Age of vehicle,engine capacity (cc),Fuel consumption (metric combined),Noise level (dB(A)),fuel type,gearbox,PM emissions (g/km),Nox emissions (g/km),HC+Nox emissions(g/km),HC emissions (g/km),Euro standard,CO2 emission (g/km),CO emissions (g/km)
1,-2.121241744,-0.951062549,-1.912784096,-0.213765083,-1.277345062,0.768589942,0,0.057,77,NA,6,92,0.054
1,-1.506812749,-0.951062549,-1.778936743,-0.009915057,-1.277345062,0.768589942,1,0.113,131,NA,5,99,0.196
1,-1.897813018,-0.951062549,-1.778936743,-0.009915057,-1.277345062,0.768589942,1,0.113,131,NA,5,99,0.196
1,-1.506812749,-0.951062549,-1.734320959,-0.009915057,-1.277345062,0.768589942,1,0.113,131,NA,5,103,0.196
1,-1.897813018,-0.951062549,-1.734320959,-0.009915057,-1.277345062,0.768589942,1,0.113,131,NA,5,103,0.196
1,-2.306687585,-0.863443873,-1.689705175,-0.060877563,-1.277345062,0.768589942,0.0001,0.018,,0.018,6,104,0.063
1,-1.859830135,-0.863443873,-1.689705175,-0.060877563,-1.277345062,0.768589942,0.0001,0.018,,0.021,6,104,0.063
1,-2.53011631,-0.863443873,-1.689705175,-0.060877563,-1.277345062,0.768589942,0.0001,0.018,,0.021,6,104,0.063
1,-2.08325886,-0.863443873,-1.689705175,-3.676004887,-1.277345062,0.768589942,6,0.0001,,0.018,,104,0.021
1,-2.121241744,-0.951062549,-1.64508939,-0.213765083,-1.277345062,0.768589942,0,0.06,80,NA,6,106,0.064
1,-0.295829059,-0.951062549,-1.64508939,-0.050685062,-1.277345062,0.360397637,0.01,0.24,0.28,NA,4,109,0.18
1,-0.74268651,-0.998348818,-1.64508939,-0.264727589,-1.277345062,0.768589942,0.02,0.17,0.19,NA,4,109,0.3
1,-1.506812749,-0.998348818,-1.64508939,-0.009915057,-1.277345062,0.768589942,1,0.12,136,NA,5,107,0.198
1,-1.897813018,-0.998348818,-1.64508939,-0.009915057,-1.277345062,0.768589942,1,0.12,136,NA,5,107,0.198
1,-1.412972685,-0.863443873,-1.600473606,-0.009915057,-1.277345062,0.768589942,0,0.166,,0.022,5,110,0.38
1,-2.121241744,-0.672908024,-1.600473606,-0.009915057,-1.277345062,0.768589942,0,0.016,50,NA,6,108,0.412
1,-1.63640141,-0.863443873,-1.600473606,-0.060877563,-1.277345062,0.768589942,0.0001,0.176,,0.026,5,105,0.36
1,-0.74268651,-0.695160386,-1.600473606,-0.162802576,-1.277345062,0.768589942,0.02,0.179,0.231,0.052,4,110,0.254
1,-0.74268651,-0.998348818,-1.600473606,-0.009915057,-1.277345062,1.040718146,0.02,0.16,0.18,NA,4,110,0.22
1,-1.506812749,-0.951062549,-1.600473606,-0.009915057,-1.277345062,0.768589942,1,0.101,120,NA,5,109,0.199
1,-1.506812749,-0.998348818,-1.600473606,-0.009915057,-1.277345062,0.768589942,1,0.101,120,NA,5,109,0.199
1,-1.897813018,-0.951062549,-1.600473606,-0.009915057,-1.277345062,0.768589942,1,0.101,120,NA,5,109,0.199
1,-1.897813018,-0.998348818,-1.600473606,-0.009915057,-1.277345062,0.768589942,1,0.101,120,NA,5,109,0.199
1,1.268172016,-0.917684006,-1.555857822,-0.009915057,-1.277345062,0.360397637,0.02,0.331,0.351,NA,3,116,0.116
1,-1.897813018,-0.998348818,-1.555857822,0.092009956,-1.277345062,0.768589942,0.04,0.155,177,NA,5,112,0.297
1,-1.506812749,-0.998348818,-1.555857822,0.092009956,-1.277345062,0.768589942,0.4,0.155,177,NA,5,112,0.297
1,-2.121241744,-0.672908024,-1.555857822,-0.11184007,-1.277345062,0.768589942,1,0.032,58,NA,6,110,0.108
1,-1.63640141,-1.229217074,-1.555857822,-0.11184007,0.782047997,0.360397637,N/A,0.007,,0.033,5,99,0.259
1,-0.74268651,-1.507371599,-1.555857822,-0.249438837,0.782047997,0.360397637,NA,0.02,NA,0.03,4,99,0.15
1,-0.74268651,-0.953844094,-1.511242037,-0.060877563,-1.277345062,0.360397637,0.02,0.181,0.211,0.03,4,116,0.207
1,-0.74268651,-0.695160386,-1.511242037,-0.162802576,-1.277345062,0.768589942,0.02,0.179,0.231,0.052,4,115,0.254
1,0.374457116,-0.917684006,-1.511242037,-0.009915057,-1.277345062,0.360397637,0.02,0.18,0.193,NA,4,119,0.095
1,0.821314566,-0.917684006,-1.511242037,-0.009915057,-1.277345062,0.360397637,0.02,0.331,0.351,NA,3,119,0.116
1,1.268172016,-0.96218873,-1.511242037,0.04104745,-1.277345062,0.360397637,0.02,0.428,0.447,,3,119,0.095
1,0.430314297,-0.998348818,-1.511242037,-0.106743819,-1.277345062,0.360397637,0.03,0.35,0.39,NA,3,117,0.23
1,-2.697687854,-0.672908024,-1.466626253,0.092009956,-1.277345062,0.768589942,0,0.024,47,NA,6,119,0.184
1,-0.295829059,-0.695160386,-1.466626253,-0.060877563,-1.277345062,0.360397637,0,0.162,0.185,,4,119,0.196
1,-0.74268651,-0.953844094,-1.466626253,-0.060877563,-1.277345062,0.360397637,0.02,0.181,0.211,0.03,4,118,0.207
1,-0.74268651,-0.695160386,-1.466626253,-0.009915057,-1.277345062,0.768589942,0.02,0.203,0.239,0.036,4,119,0.211
1,-0.74268651,-0.695160386,-1.466626253,-0.009915057,-1.277345062,0.768589942,0.02,0.203,0.239,0.036,4,117,0.211
1,-0.072400334,-0.818939149,-1.466626253,-0.060877563,-1.277345062,0.360397637,0.02,0.18,0.23,0.05,4,118,0.36
1,-0.314597072,-0.998348818,-1.466626253,-0.11184007,-1.277345062,0.360397637,0.02,0.17,0.18,NA,4,119,0.07
1,-0.314597072,-0.998348818,-1.466626253,-0.11184007,-1.277345062,1.040718146,0.02,0.17,0.18,NA,4,119,0.07
1,1.268172016,-0.917684006,-1.466626253,-0.009915057,-1.277345062,0.360397637,0.02,0.428,0.447,,3,120,0.095
1,-0.74268651,-1.507371599,-1.466626253,-0.060877563,0.782047997,0.360397637,NA,0.02,NA,0.04,4,106,0.32
1,-0.519257785,-0.863443873,-1.422010468,0.04104745,-1.277345062,0.360397637,0.02,0.199,,0.016,4,120,0.143
1,-0.74268651,-0.863443873,-1.422010468,0.04104745,-1.277345062,0.360397637,0.02,0.199,,0.016,4,120,0.143
1,-0.966115235,-0.863443873,-1.422010468,0.04104745,-1.277345062,0.360397637,0.02,0.199,,0.016,4,120,0.143
1,-0.74268651,-0.158322152,-1.422010468,-0.009915057,-1.277345062,0.768589942,0.12,0.164,0.181,NA,5,119,0.192
1,-0.295829059,-1.507371599,-1.422010468,-0.11184007,0.782047997,0.360397637,NA,0.01,NA,0.05,4,109,0.37
1,-0.74268651,-1.507371599,-1.422010468,-0.060877563,0.782047997,1.040718146,NA,0.01,NA,0.05,4,107,0.38
1,-0.295829059,-1.507371599,-1.422010468,-0.009915057,0.782047997,1.040718146,NA,0.03,NA,0.05,4,109,0.35
1,-2.121241744,-1.230607847,-1.422010468,-0.213765083,0.782047997,-1.136307483,NA,0.032,NA,0.026,6,106,0.108
1,-2.697687854,-0.120771291,-1.377394684,-0.060877563,-1.277345062,0.768589942,0,0.025,48,NA,6,123,0.275
1,-2.697687854,-0.120771291,-1.377394684,-0.060877563,-1.277345062,0.768589942,0,0.025,49,NA,6,124,0.275
1,-2.753545036,-0.863443873,-1.377394684,-0.060877563,-1.277345062,0.768589942,0.0002,0.027,,0.031,6,123,0.016
1,-0.74268651,-0.998348818,-1.377394684,-0.264727589,-1.277345062,0.768589942,0.01,0.17,0.2,NA,4,125,0.25
1,-0.295829059,-0.863443873,-1.377394684,-0.11184007,-1.277345062,0.360397637,0.02,0.211,,0.023,4,125,0.201
1,-0.295829059,-0.695160386,-1.377394684,-0.009915057,-1.277345062,0.360397637,0.02,0.191,0.224,,4,125,0.307
1,-0.74268651,-1.507371599,-1.377394684,-0.101647568,0.782047997,1.040718146,NA,0.02,NA,0.04,4,110,0.12
1,0.374457116,-0.818939149,-1.3327789,0.04104745,-1.277345062,0.360397637,0.03,0.41,0.432,,3,127,0.166
1,1.268172016,-0.258457781,-1.3327789,0.04104745,-1.277345062,0.360397637,0.04,0.373,0.433,,3,130,0.377
1,-0.74268651,-0.998348818,-1.3327789,-0.213765083,-1.277345062,1.040718146,0.21,0.21,0.23,NA,4,127,0.22
1,-0.74268651,-1.04702586,-1.3327789,-0.249438837,0.782047997,0.768589942,NA,0.016,NA,0.024,4,113,0.098
1,-2.121241744,-1.230607847,-1.3327789,-0.11184007,0.782047997,-1.136307483,NA,0.032,NA,0.026,6,110,0.108
1,-2.121241744,-1.230607847,-1.3327789,-0.060877563,0.782047997,0.768589942,NA,0.039,NA,0.032,6,112,0.197
1,-0.74268651,-0.998348818,-1.288163115,0.04104745,-1.277345062,0.768589942,0,0.18,0.19,NA,4,130,0.18
1,-1.412972685,-0.863443873,-1.288163115,-0.009915057,-1.277345062,0.768589942,0.0008,0.137,,0.022,5,129,0.371
1,-0.295829059,-0.695160386,-1.288163115,-0.009915057,-1.277345062,0.360397637,0.02,0.191,0.224,,4,128,0.307
1,-0.295829059,-0.998348818,-1.243547331,-0.213765083,-1.277345062,1.040718146,0.02,0.179,0.192,NA,4,131,0.094
1,-0.295829059,-0.998348818,-1.243547331,-0.213765083,-1.277345062,0.360397637,0.02,0.218,0.235,NA,4,132,0.176
1,0.374457116,-0.998348818,-1.243547331,-0.122032571,-1.277345062,0.360397637,0.04,0.4,0.43,NA,3,133,0.16
1,-0.74268651,-1.507371599,-1.243547331,-0.086358816,0.782047997,0.360397637,NA,0.02,NA,0.07,4,118,0.4
1,-0.295829059,-1.384983608,-1.243547331,0.030854949,0.782047997,0.360397637,,0.023,0.058,0.035,4,119,0.323
1,-1.18954396,-0.863443873,-1.198931547,0.092009956,-1.277345062,0.768589942,0,0.114,,0.018,5,134,0.417
1,-0.74268651,-0.116598973,-1.198931547,-0.009915057,-1.277345062,0.768589942,0.01,0.14,0.16,NA,4,135,0.23
1,-0.74268651,-0.116598973,-1.198931547,-0.009915057,-1.277345062,0.768589942,0.01,0.14,0.16,NA,4,134,0.23
1,-0.072400334,-0.863443873,-1.198931547,-0.11184007,-1.277345062,0.360397637,0.02,0.228,,0.029,4,135,0.129
1,-0.295829059,-0.863443873,-1.198931547,-0.060877563,-1.277345062,0.360397637,0.02,0.227,,0.032,4,136,0.218
1,1.268172016,-0.258457781,-1.198931547,0.092009956,-1.277345062,0.360397637,0.02,0.449,0.504,,3,138,0.362
1,1.044743291,-0.258457781,-1.198931547,0.092009956,-1.277345062,0.360397637,0.02,0.449,0.504,,3,138,0.362
1,1.268172016,-0.258457781,-1.198931547,0.04104745,-1.277345062,0.360397637,0.04,0.391,0.43,,3,138,0.15
1,-2.753545036,-1.229217074,-1.198931547,-0.060877563,0.782047997,-0.319922872,N/A,0.007,,0.036,6,119,0.302
1,-1.63640141,-1.229217074,-1.198931547,-0.060877563,0.782047997,-0.319922872,N/A,0.01,,0.039,5,119,0.366
1,-0.74268651,-1.04702586,-1.198931547,-0.249438837,0.782047997,1.040718146,NA,0.016,NA,0.024,4,120,0.098
1,-0.74268651,-1.04702586,-1.198931547,-0.03539631,0.782047997,0.768589942,NA,0.02,NA,0.07,4,120,0.24
1,-0.74268651,-1.04702586,-1.198931547,-0.03539631,0.782047997,1.040718146,NA,0.02,NA,0.07,4,119,0.24
1,-2.121241744,-1.230607847,-1.198931547,-0.11184007,0.782047997,-1.136307483,NA,0.032,NA,0.026,6,119,0.108
1,-0.966115235,-0.863443873,-1.154315762,-0.178091328,-1.277345062,0.768589942,0,0.153,,0.022,4,135,0.2
1,-1.18954396,-0.863443873,-1.154315762,-0.178091328,-1.277345062,0.768589942,0,0.153,,0.022,4,135,0.2
1,-0.74268651,-0.116598973,-1.154315762,-0.009915057,-1.277345062,0.768589942,0.01,0.14,0.16,NA,4,136,0.23
1,-0.519257785,-0.863443873,-1.154315762,-0.162802576,-1.277345062,0.768589942,0.02,0.192,,0.023,4,139,0.206
1,-0.74268651,-0.863443873,-1.154315762,-0.162802576,-1.277345062,0.768589942,0.02,0.192,,0.023,4,139,0.206
1,1.268172016,-0.258457781,-1.154315762,-0.060877563,-1.277345062,0.360397637,0.03,0.369,0.403,,3,140,0.117
1,1.044743291,-0.258457781,-1.154315762,-0.060877563,-1.277345062,0.360397637,0.04,0.408,0.435,,3,140,0.055
1,0.151028391,-0.258457781,-1.154315762,-0.060877563,-1.277345062,0.360397637,0.04,0.408,0.435,,3,140,0.055
1,-0.519257785,-1.159678443,-1.154315762,-0.009915057,0.782047997,0.360397637,,0.036,0.064,0.028,4,124,0.383
1,-0.74268651,-1.159678443,-1.154315762,-0.009915057,0.782047997,0.360397637,,0.036,0.064,0.028,4,124,0.383
1,-0.295829059,-1.384983608,-1.154315762,0.030854949,0.782047997,0.360397637,,0.023,0.058,0.035,4,124,0.323
1,-1.412972685,-0.863443873,-1.109699978,-0.213765083,-1.277345062,0.360397637,0.001,0.14,,0.035,5,138,0.459
1,-1.63640141,-0.863443873,-1.109699978,-0.213765083,-1.277345062,0.360397637,0.001,0.14,,0.075,5,138,0.459
1,-0.072400334,-0.818939149,-1.109699978,-0.11184007,-1.277345062,0.360397637,0.02,0.22,0.24,0.02,4,140,0.12
1,-0.072400334,-0.949671776,-1.109699978,-0.11184007,0.782047997,0.360397637,0.02,0.22,0.24,0.02,4,141,0.12
1,0.151028391,-0.258457781,-1.109699978,-0.060877563,-1.277345062,0.360397637,0.02,0.191,0.203,NA,4,143,0.041
1,-0.519257785,-0.818939149,-1.109699978,-0.11184007,-1.277345062,0.360397637,0.02,0.22,0.24,,4,140,0.12
1,1.268172016,-0.258457781,-1.109699978,0.092009956,-1.277345062,0.360397637,0.03,0.461,0.52,,3,143,0.316
1,1.268172016,-0.258457781,-1.109699978,0.04104745,-1.277345062,0.360397637,0.04,0.314,0.394,,3,143,0.436
1,-0.74268651,-0.158322152,-1.109699978,0.04104745,-1.277345062,0.768589942,0.12,0.136,0.157,NA,5,139,0.157
1,-2.121241744,-1.230607847,-1.109699978,-0.11184007,0.782047997,-1.136307483,NA,0.032,NA,0.026,6,122,0.108
1,-0.519257785,-0.158322152,-1.109699978,0.04104745,-1.277345062,0.768589942,NA,0.15,0.177,NA,4,139,0.225
1,1.044743291,-0.258457781,-1.065084194,-0.009915057,-1.277345062,0.768589942,0.003,0.376,0.392,,3,146,0.081
1,-0.74268651,-0.158322152,-1.065084194,-0.11184007,-1.277345062,-0.047794669,0.01,0.126,0.142,NA,4,143,0.05
1,-0.295829059,-0.863443873,-1.065084194,-0.162802576,-1.277345062,0.768589942,0.02,0.192,,0.023,4,145,0.206
1,-0.295829059,-0.116598973,-1.065084194,-0.213765083,-1.277345062,0.768589942,0.02,0.193,0.211,NA,4,144,0.196
1,0.151028391,-0.258457781,-1.065084194,-0.060877563,-1.277345062,0.360397637,0.02,0.206,0.224,,4,143,0.12
1,1.044743291,-0.258457781,-1.065084194,0.04104745,-1.277345062,0.360397637,0.04,0.314,0.394,,3,146,0.436
1,0.374457116,-1.507371599,-1.065084194,-0.132225072,0.782047997,1.040718146,NA,0.01,NA,0.05,4,129,0.48
1,-0.314597072,-1.507371599,-1.065084194,-0.11184007,0.782047997,0.360397637,NA,0.01,NA,0.07,4,127,0.58
1,-2.121241744,-1.230607847,-1.065084194,-0.060877563,0.782047997,0.768589942,NA,0.012,NA,0.02,6,125,0.138
1,-1.506812749,-1.04702586,-1.065084194,0.04104745,0.782047997,0.768589942,NA,0.013,NA,0.036,5,125,0.215
1,-1.897813018,-1.04702586,-1.065084194,0.04104745,0.782047997,0.768589942,NA ,0.013,NA,0.036,5,125,0.215
1,-0.072400334,-1.384983608,-1.065084194,0.04104745,0.782047997,0.360397637,,0.023,0.047,0.024,4,128,0.277
1,-0.295829059,-0.126334382,-1.020468409,0.04104745,-1.277345062,0.768589942,0.02,0.196,0.216,,4,145,0.134
1,1.268172016,-0.258457781,-1.020468409,-0.009915057,-1.277345062,0.360397637,0.03,0.42,0.454,,3,149,0.137
1,0.597885841,-0.818939149,-1.020468409,0.04104745,-1.277345062,0.360397637,0.04,0.399,0.399,,3,145,0.079
1,0.374457116,-0.818939149,-1.020468409,0.04104745,-1.277345062,0.360397637,0.04,0.399,0.399,,3,145,0.079
1,-0.295829059,-0.116598973,-1.020468409,-0.060877563,-1.277345062,0.768589942,0.2,0.2,0.22,NA,4,146,0.17
1,-0.74268651,0.207451048,-1.020468409,-0.009915057,-1.277345062,0.768589942,1,0.162,171,NA,5,147,0.161
1,-0.74268651,0.207451048,-1.020468409,0.04104745,-1.277345062,0.768589942,1,0.162,171,NA,5,149,0.161
1,-0.74268651,-0.116598973,-1.020468409,0.092009956,-1.277345062,0.768589942,1.2,0.158,187,NA,5,143,0.29
1,-0.74268651,-1.04702586,-1.020468409,-0.162802576,0.782047997,0.768589942,NA,0.02,NA,0.05,4,129,0.24
1,-2.121241744,-1.230607847,-1.020468409,-0.060877563,0.782047997,0.768589942,NA,0.039,NA,0.032,6,126,0.197
1,-2.121241744,-1.04702586,-1.020468409,0.04104745,0.782047997,0.768589942,NA,0.007,NA,0.041,6,128,0.39
1,-1.506812749,-1.04702586,-1.020468409,0.04104745,0.782047997,0.768589942,NA,0.009,NA,0.041,5,127,0.28
1,-1.897813018,-1.04702586,-1.020468409,0.04104745,0.782047997,0.768589942,NA,0.009,NA,0.041,5,127,0.28
1,-0.072400334,-1.384983608,-1.020468409,0.04104745,0.782047997,0.360397637,,0.023,0.047,0.024,4,131,0.277
1,-0.295829059,-0.158322152,-0.975852625,-0.162802576,-1.277345062,-0.047794669,0,0.144,0.159,NA,4,148,0.039
1,0.430314297,-0.120771291,-0.975852625,0.04104745,-1.277345062,0.360397637,0.01,0.23,0.24,NA,4,149,0.24
1,-0.74268651,0.207451048,-0.975852625,0.04104745,-1.277345062,0.768589942,1,0.162,171,NA,5,150,0.161
1,-1.63640141,-1.230607847,-0.975852625,-0.009915057,0.782047997,0.768589942,N/A,0.025,,0.044,5,129,0.658
1,0.374457116,-1.507371599,-0.975852625,-0.122032571,0.782047997,0.360397637,NA,0.01,NA,0.05,4,134,0.3
1,0.374457116,-1.088749039,-0.975852625,-0.071070064,0.782047997,0.360397637,NA,0.01,NA,0.05,4,133,0.7
1,-1.506812749,-1.04702586,-0.975852625,0.04104745,0.782047997,0.768589942,NA,0.008,NA,0.037,5,130,0.385
1,-1.897813018,-1.04702586,-0.975852625,0.04104745,0.782047997,0.768589942,NA,0.008,NA,0.037,5,130,0.385
1,0.151028391,-1.384983608,-0.975852625,-0.009915057,0.782047997,0.360397637,,0.012,0.035,0.023,3,133,0.47
1,-0.519257785,-0.953844094,-0.975852625,-0.060877563,0.782047997,0.360397637,,0.008,0.033,0.025,4,133,0.245
1,-0.74268651,-0.953844094,-0.975852625,-0.060877563,0.782047997,0.360397637,,0.008,0.033,0.025,4,133,0.245
1,0.430314297,-0.120771291,-0.931236841,0.04104745,-1.277345062,0.360397637,0.01,0.23,0.24,NA,4,151,0.24
1,-0.74268651,-0.695160386,-0.931236841,-0.060877563,-1.277345062,-1.68056389,0.02,0.176,0.197,0.021,4,150,0.169
1,-0.519257785,-0.13606979,-0.931236841,0.04104745,-1.277345062,0.768589942,0.02,0.127,0.155,NA,5,149,0.188
1,-0.74268651,-0.258457781,-0.931236841,-0.060877563,-1.277345062,0.360397637,0.02,0.191,0.21,NA,4,152,0.051
1,-0.295829059,-0.116598973,-0.931236841,-0.060877563,-1.277345062,0.768589942,0.02,0.2,0.22,NA,4,149,0.17
1,0.151028391,-0.258457781,-0.931236841,-0.060877563,-1.277345062,0.360397637,0.02,0.237,0.26,NA,4,154,0.089
1,0.151028391,-0.158322152,-0.931236841,-0.009915057,-1.277345062,0.768589942,0.02,0.239,0.261,,4,154,0.113
1,0.430314297,-0.120771291,-0.931236841,-0.009915057,-1.277345062,0.360397637,0.03,0.45,0.48,NA,3,153,0.24
1,0.430314297,-0.120771291,-0.931236841,-0.060877563,-1.277345062,0.360397637,0.03,0.45,0.48,NA,3,153,0.24
1,1.268172016,-0.258457781,-0.931236841,-0.009915057,-1.277345062,0.360397637,0.03,0.42,0.454,,3,154,0.13
1,1.268172016,-0.258457781,-0.931236841,-0.009915057,-1.277345062,0.360397637,0.03,0.465,0.495,,3,154,0.1
1,1.268172016,0.142084735,-0.931236841,0.04104745,-1.277345062,0.360397637,0.04,0.38,,0.03,3,152,0.02
1,-0.74268651,0.207451048,-0.931236841,0.04104745,-1.277345062,0.768589942,1,0.162,171,NA,5,152,0.161
1,-2.306687585,-1.230607847,-0.931236841,-0.11184007,0.782047997,0.768589942,N/A,0.033,,0.052,6,128,0.264
1,-2.53011631,-1.230607847,-0.931236841,-0.11184007,0.782047997,0.768589942,N/A,0.033,,0.052,6,128,0.264
1,-0.74268651,-0.96218873,-0.931236841,-0.11184007,0.782047997,0.088269433,NA,0.046,NA,0.052,5,133,0.588
1,-1.506812749,-0.672908024,-0.931236841,0.04104745,0.782047997,-0.319922872,NA,0.007,NA,0.036,5,134,0.232
1,-1.897813018,-0.672908024,-0.931236841,0.04104745,0.782047997,-0.319922872,NA,0.007,NA,0.036,5,134,0.232
1,0.374457116,-1.030336588,-0.931236841,-0.11184007,0.782047997,0.360397637,,0.036,,0.034,3,136,0.372
1,-0.072400334,-0.158322152,-0.886621056,0.04104745,-1.277345062,-0.047794669,0.02,0.184,0.215,NA,4,156,0.196
1,-0.519257785,-0.258457781,-0.886621056,-0.060877563,-1.277345062,0.360397637,0.02,0.191,0.21,NA,4,154,0.051
1,0.430314297,-0.120771291,-0.886621056,-0.009915057,-1.277345062,0.360397637,0.02,0.21,0.22,NA,4,155,0.14
1,-0.74268651,0.207451048,-0.886621056,-0.106743819,-1.277345062,0.768589942,0.02,0.21,0.22,NA,4,154,0.18
1,1.044743291,-1.507371599,-0.886621056,-0.009915057,0.782047997,0.224333535,N/A,0.041,,0.066,3,142,0.584
1,-0.314597072,-1.090139811,-0.886621056,-0.11184007,0.782047997,1.040718146,NA,0.01,NA,0.05,4,136,0.49
1,0.374457116,-1.088749039,-0.886621056,-0.071070064,0.782047997,0.360397637,NA,0.01,NA,0.06,4,138,0.79
1,-1.506812749,-0.672908024,-0.886621056,0.04104745,0.782047997,-0.319922872,NA,0.008,NA,0.036,5,136,0.232
1,-1.506812749,-0.672908024,-0.886621056,0.04104745,0.782047997,-0.319922872,NA,0.008,NA,0.036,5,136,0.232
1,-1.897813018,-0.672908024,-0.886621056,0.04104745,0.782047997,-0.319922872,NA,0.008,NA,0.036,5,136,0.232
1,-0.74268651,-1.04702586,-0.886621056,-0.162802576,0.782047997,0.768589942,NA,0.025,NA ,0.04,5,136,0.274
1,-0.74268651,-1.04702586,-0.886621056,-0.162802576,0.782047997,0.768589942,NA,0.038,NA ,0.04,5,135,0.274
1,0.597885841,-1.384983608,-0.886621056,-0.009915057,0.782047997,0.360397637,,0.01,0.029,0.019,3,138,0.4
1,0.374457116,-0.158322152,-0.842005272,0.04104745,-1.277345062,-0.047794669,0.02,0.184,0.215,NA,4,159,0.196
1,-0.072400334,-0.158322152,-0.842005272,0.04104745,-1.277345062,-0.047794669,0.02,0.184,0.215,NA,4,159,0.196
1,0.151028391,-0.158322152,-0.842005272,0.04104745,-1.277345062,0.768589942,0.02,0.228,0.267,NA,4,158,0.266
1,-0.295829059,0.207451048,-0.842005272,-0.009915057,-1.277345062,0.768589942,0.02,0.24,0.24,NA,4,156,0.02
