Age of vehicle,engine capacity (cc),Fuel consumption (metric combined),Noise level (dB(A)),fuel type,gearbox,CO2 emission (g/km)
-0.250780771,-0.106370084,22.67669535,-0.164794885,0.800217618,-0.306343235,201
0.453026616,3.628273925,2.571550252,0.00149472,0.800217618,-1.25534728,387
-0.268971485,3.628273925,2.571550252,0.00149472,0.800217618,-1.25534728,387
0.615443705,5.496296088,2.119410557,0.095032623,0.800217618,1.32052084,355
0.831999824,2.939318225,2.059125264,0.095032623,0.800217618,1.184948834,350
-0.250780771,2.926715377,2.059125264,0.146998124,0.800217618,1.727236859,349
1.265112061,2.939318225,2.028982618,0.095032623,0.800217618,1.184948834,348
1.048555943,2.939318225,1.998839972,0.095032623,0.800217618,1.184948834,346
-0.46733689,4.086177409,1.878269387,0.095032623,0.800217618,1.32052084,333
-0.034224652,2.926715377,1.757698801,0.043067121,0.800217618,1.32052084,326
-0.683893009,2.926715377,1.757698801,0.095032623,0.800217618,1.32052084,325
1.265112061,0.543376756,1.727556155,-0.008898381,0.800217618,-1.662063299,324
0.453026616,2.636849869,1.727556155,0.02747747,0.800217618,-1.662063299,320
0.831999824,2.926715377,1.727556155,0.095032623,0.800217618,1.727236859,324
-0.683893009,2.926715377,1.667270862,0.146998124,0.800217618,1.456092847,310
1.265112061,1.006881505,1.637128216,0.043067121,0.800217618,-1.662063299,317
1.265112061,1.006881505,1.637128216,0.043067121,0.800217618,-1.662063299,317
1.048555943,1.006881505,1.637128216,0.043067121,0.800217618,-1.662063299,317
-1.766673603,2.417000184,1.637128216,-1.687384082,0.800217618,-1.119775273,275
-1.983229722,2.417000184,1.637128216,-0.128419034,0.800217618,-1.119775273,275
-2.199785841,2.417000184,1.637128216,-0.128419034,0.800217618,-1.119775273,275
-2.41634196,2.417000184,1.637128216,-0.128419034,0.800217618,-1.119775273,275
-2.632898079,2.417000184,1.637128216,-0.128419034,0.800217618,-1.119775273,275
-1.766673603,2.272767588,1.637128216,-0.086846633,0.800217618,-0.984203267,245
-2.199785841,2.272767588,1.637128216,-0.086846633,0.800217618,-0.984203267,245
-2.41634196,2.272767588,1.637128216,-0.086846633,0.800217618,-0.984203267,245
-2.632898079,2.272767588,1.637128216,-0.086846633,0.800217618,-0.984203267,245
0.831999824,2.939318225,1.637128216,0.095032623,0.800217618,1.184948834,317
1.265112061,2.939318225,1.60698557,0.095032623,0.800217618,1.184948834,314
1.048555943,2.939318225,1.60698557,0.095032623,0.800217618,1.184948834,314
1.265112061,2.939318225,1.576842923,0.095032623,0.800217618,1.184948834,312
1.265112061,0.543376756,1.546700277,-0.008898381,0.800217618,-1.662063299,310
-0.46733689,2.134136258,1.486414984,0.146998124,0.800217618,1.32052084,304
-0.900449128,2.417000184,1.426129692,-0.060863882,0.800217618,-1.119775273,295
-1.117005247,2.417000184,1.426129692,-0.060863882,0.800217618,-1.119775273,295
-1.333561365,2.417000184,1.426129692,-0.060863882,0.800217618,-1.119775273,295
-0.268971485,2.636849869,1.395987045,-0.133615584,0.800217618,-1.25534728,291
1.048555943,-0.91155205,1.395987045,-0.008898381,-1.1847247,0.371516796,116
1.265112061,0.543376756,1.395987045,0.095032623,0.800217618,0.371516796,298
1.265112061,2.274167905,1.395987045,0.043067121,0.800217618,1.184948834,298
1.048555943,2.274167905,1.395987045,0.043067121,0.800217618,1.184948834,298
-0.034224652,1.995504929,1.365844399,-0.123222484,0.800217618,-0.306343235,295
-0.250780771,1.995504929,1.365844399,-0.123222484,0.800217618,-0.306343235,295
-0.034224652,1.995504929,1.365844399,-0.123222484,0.800217618,-0.306343235,295
1.048555943,0.44255397,1.365844399,0.095032623,0.800217618,0.371516796,292
0.615443705,0.837443213,1.365844399,0.043067121,0.800217618,1.184948834,295
1.048555943,0.543376756,1.335701753,0.095032623,0.800217618,0.371516796,293
1.265112061,1.006881505,1.27541646,0.043067121,0.800217618,-1.25534728,288
-0.034224652,1.995504929,1.27541646,0.043067121,0.800217618,0.778232815,288
-0.250780771,1.995504929,1.27541646,0.095032623,0.800217618,0.778232815,288
-0.46733689,1.995504929,1.27541646,0.095032623,0.800217618,0.778232815,288
-0.683893009,1.995504929,1.27541646,0.095032623,0.800217618,0.778232815,288
1.265112061,0.837443213,1.27541646,-0.112829384,0.800217618,1.727236859,288
1.048555943,0.44255397,1.245273814,0.095032623,0.800217618,0.371516796,282
0.831999824,0.978875176,1.245273814,-0.008898381,0.800217618,1.184948834,286
0.398887586,2.274167905,1.245273814,0.043067121,0.800217618,1.32052084,286
-0.46733689,1.232332456,1.215131168,-0.019291481,-1.1847247,-1.662063299,313
-0.683893009,1.232332456,1.215131168,-0.019291481,-1.1847247,-1.662063299,313
-2.199785841,2.417000184,1.215131168,-0.221956937,0.800217618,-1.119775273,275
-2.41634196,2.417000184,1.215131168,-0.221956937,0.800217618,-1.119775273,275
-2.632898079,2.417000184,1.215131168,-0.221956937,0.800217618,-1.119775273,275
-1.550117484,2.417000184,1.215131168,-0.133615584,0.800217618,-1.119775273,275
0.831999824,0.837443213,1.215131168,0.043067121,0.800217618,1.727236859,283
1.265112061,1.006881505,1.154845875,0.095032623,0.800217618,1.727236859,278
1.048555943,1.006881505,1.154845875,0.095032623,0.800217618,1.727236859,278
1.265112061,0.816438466,1.094560582,-0.008898381,0.800217618,-1.662063299,274
0.398887586,0.816438466,1.094560582,-0.008898381,0.800217618,-1.662063299,274
0.615443705,1.258938469,1.094560582,-0.008898381,0.800217618,-1.25534728,273
1.265112061,-0.146979261,1.094560582,0.069049872,0.800217618,0.371516796,274
0.398887586,1.995504929,1.094560582,0.043067121,0.800217618,0.778232815,273
0.182331467,1.995504929,1.094560582,0.043067121,0.800217618,0.778232815,273
-0.034224652,1.995504929,1.094560582,0.043067121,0.800217618,0.778232815,273
1.265112061,0.816438466,1.064417936,0.043067121,0.800217618,-1.662063299,271
0.615443705,0.816438466,1.064417936,0.043067121,0.800217618,-1.662063299,271
1.265112061,1.258938469,1.064417936,-0.112829384,0.800217618,-1.25534728,270
1.265112061,0.977474859,1.064417936,-0.008898381,0.800217618,1.184948834,271
1.265112061,0.977474859,1.064417936,-0.008898381,0.800217618,1.184948834,271
1.265112061,0.977474859,1.064417936,0.043067121,0.800217618,1.184948834,271
-0.034224652,2.926715377,1.03427529,-0.008898381,0.800217618,1.32052084,267
0.453026616,2.928115693,1.004132643,0.157391224,-1.1847247,0.371516796,292
-0.250780771,2.928115693,1.004132643,0.157391224,-1.1847247,0.371516796,292
1.265112061,0.977474859,1.004132643,0.043067121,0.800217618,1.184948834,266
1.048555943,0.977474859,1.004132643,0.043067121,0.800217618,1.184948834,266
0.182331467,1.470386255,1.004132643,-0.060863882,0.800217618,1.32052084,266
1.048555943,1.006881505,1.004132643,0.095032623,0.800217618,1.727236859,266
1.265112061,-0.104969767,0.973989997,30.65074755,0.800217618,-1.662063299,267
1.048555943,-0.104969767,0.973989997,-0.31029829,0.800217618,-1.662063299,267
0.453026616,1.291145747,0.973989997,-0.138812135,0.800217618,-1.662063299,263
1.265112061,-0.124574198,0.973989997,0.043067121,0.800217618,-1.662063299,264
1.265112061,0.977474859,0.973989997,0.095032623,0.800217618,1.184948834,264
0.831999824,0.448155236,0.973989997,0.043067121,0.800217618,1.591664853,264
-0.46733689,1.232332456,0.943847351,0.069049872,-1.1847247,0.507088803,288
-0.683893009,1.232332456,0.943847351,0.069049872,-1.1847247,0.507088803,288
-0.900449128,1.995504929,0.943847351,-0.118025934,0.800217618,-0.306343235,261
-0.250780771,1.470386255,0.943847351,-0.060863882,0.800217618,1.32052084,259
1.265112061,0.977474859,0.943847351,-0.008898381,0.800217618,1.591664853,262
0.453026616,0.404745426,0.913704704,0.095032623,0.800217618,-1.662063299,259
0.831999824,1.232332456,0.913704704,0.00149472,-1.1847247,-1.797635305,287
1.265112061,1.232332456,0.913704704,-0.060863882,-1.1847247,-1.797635305,287
1.048555943,1.232332456,0.913704704,-0.060863882,-1.1847247,-1.797635305,287
-0.250780771,1.232332456,0.913704704,0.00149472,-1.1847247,-1.797635305,287
0.831999824,1.232332456,0.913704704,0.089836072,-1.1847247,0.23594479,288
1.265112061,1.232332456,0.913704704,0.095032623,-1.1847247,0.23594479,288
1.048555943,1.232332456,0.913704704,0.095032623,-1.1847247,0.23594479,288
-0.250780771,1.232332456,0.913704704,0.089836072,-1.1847247,0.23594479,288
0.182331467,1.470386255,0.913704704,-0.008898381,0.800217618,1.32052084,259
1.048555943,0.827640998,0.883562058,0.043067121,-1.1847247,-1.662063299,283
0.831999824,0.817838782,0.883562058,-0.060863882,0.800217618,-1.662063299,256
0.398887586,0.817838782,0.883562058,-0.060863882,0.800217618,-1.662063299,256
-0.034224652,1.470386255,0.883562058,0.095032623,0.800217618,1.727236859,255
1.048555943,0.827640998,0.853419412,0.095032623,-1.1847247,-1.662063299,279
-0.034224652,0.816438466,0.853419412,-0.112829384,0.800217618,-1.662063299,252
0.453026616,2.928115693,0.853419412,0.02747747,-1.1847247,-1.25534728,282
0.453026616,2.928115693,0.853419412,0.02747747,-1.1847247,-1.25534728,282
-0.250780771,2.928115693,0.853419412,0.02747747,-1.1847247,-1.25534728,282
-0.900449128,2.272767588,0.853419412,0.063853322,0.800217618,0.778232815,248
-1.117005247,2.272767588,0.853419412,0.063853322,0.800217618,0.778232815,248
-1.333561365,2.272767588,0.853419412,0.063853322,0.800217618,0.778232815,248
-1.550117484,2.272767588,0.853419412,0.063853322,0.800217618,0.778232815,248
-1.766673603,2.272767588,0.853419412,0.063853322,0.800217618,0.778232815,248
-1.983229722,2.272767588,0.853419412,0.063853322,0.800217618,0.778232815,248
-2.199785841,2.272767588,0.853419412,-0.086846633,0.800217618,0.778232815,248
-2.41634196,2.272767588,0.853419412,-0.086846633,0.800217618,0.778232815,248
-2.632898079,2.272767588,0.853419412,-0.086846633,0.800217618,0.778232815,248
-0.250780771,0.5811853,0.823276765,-3.746465116,-1.1847247,-1.25534728,283
-0.900449128,2.272767588,0.823276765,-0.086846633,0.800217618,-0.984203267,245
-1.117005247,2.272767588,0.823276765,-0.086846633,0.800217618,-0.984203267,245
-1.333561365,2.272767588,0.823276765,-0.086846633,0.800217618,-0.984203267,245
-1.550117484,2.272767588,0.823276765,-0.086846633,0.800217618,-0.984203267,245
-1.766673603,2.272767588,0.823276765,-0.086846633,0.800217618,-0.984203267,245
-1.983229722,2.272767588,0.823276765,-0.086846633,0.800217618,-0.984203267,245
1.265112061,1.281343532,0.823276765,-0.138812135,0.800217618,-1.797635305,252
1.048555943,1.281343532,0.823276765,-0.138812135,0.800217618,-1.797635305,252
0.453026616,1.272941633,0.793134119,0.089836072,-1.1847247,-1.662063299,277
0.453026616,1.272941633,0.793134119,0.089836072,-1.1847247,-1.662063299,277
0.831999824,0.816438466,0.793134119,0.043067121,0.800217618,0.778232815,250
0.398887586,0.816438466,0.793134119,0.043067121,0.800217618,0.778232815,250
-0.034224652,1.251936886,0.793134119,0.043067121,-1.1847247,1.32052084,279
1.265112061,0.588186882,0.762991473,-0.112829384,0.800217618,-1.662063299,246
1.265112061,-0.106370084,0.762991473,-0.008898381,0.800217618,-1.662063299,247
0.831999824,0.816438466,0.762991473,-0.060863882,0.800217618,-1.662063299,247
0.615443705,-0.106370084,0.762991473,-0.008898381,0.800217618,-1.662063299,247
0.398887586,0.816438466,0.762991473,-0.060863882,0.800217618,-1.662063299,247
0.453026616,1.272941633,0.762991473,0.089836072,-1.1847247,-1.662063299,274
0.453026616,1.272941633,0.762991473,0.089836072,-1.1847247,-1.662063299,274
-0.46733689,0.5811853,0.732848826,-0.112829384,-1.1847247,-1.25534728,276
-0.683893009,0.5811853,0.732848826,-0.112829384,-1.1847247,-1.25534728,276
-0.034224652,1.77705556,0.732848826,-0.112829384,0.800217618,-1.25534728,245
-0.683893009,3.344009683,0.732848826,-0.060863882,-1.1847247,-1.119775273,270
1.265112061,-0.106370084,0.70270618,-0.060863882,0.800217618,-1.662063299,241
1.265112061,0.448155236,0.70270618,-0.008898381,0.800217618,0.371516796,242
1.048555943,0.448155236,0.70270618,-0.008898381,0.800217618,0.371516796,242
0.182331467,0.816438466,0.672563534,0.095032623,0.800217618,-1.662063299,237
0.831999824,-0.104969767,0.672563534,-0.112829384,0.800217618,-1.797635305,237
0.615443705,-0.104969767,0.672563534,-0.112829384,0.800217618,-1.797635305,237
0.398887586,-0.104969767,0.672563534,-0.112829384,0.800217618,-1.797635305,237
0.398887586,1.562807141,0.672563534,0.095032623,0.800217618,-0.035199223,250
1.048555943,0.543376756,0.672563534,0.146998124,-1.1847247,1.591664853,270
0.831999824,1.232332456,0.642420888,0.043067121,-1.1847247,-1.662063299,262
0.615443705,1.232332456,0.642420888,0.043067121,-1.1847247,-1.662063299,262
0.398887586,1.232332456,0.642420888,0.043067121,-1.1847247,-1.662063299,262
0.398887586,1.470386255,0.642420888,0.095032623,0.800217618,-1.797635305,238
0.831999824,0.827640998,0.642420888,0.043067121,-1.1847247,0.371516796,263
1.048555943,0.827640998,0.642420888,-0.008898381,-1.1847247,0.371516796,263
0.615443705,0.827640998,0.642420888,0.043067121,-1.1847247,0.371516796,263
-0.034224652,0.448155236,0.642420888,0.095032623,0.800217618,0.778232815,238
0.831999824,0.827640998,0.612278241,0.043067121,-1.1847247,0.371516796,260
1.048555943,0.827640998,0.612278241,-0.008898381,-1.1847247,0.371516796,260
0.615443705,0.827640998,0.612278241,0.043067121,-1.1847247,0.371516796,260
0.398887586,0.827640998,0.612278241,0.043067121,-1.1847247,0.371516796,260
1.265112061,0.389341945,0.612278241,0.043067121,0.800217618,0.371516796,235
0.615443705,0.389341945,0.612278241,0.095032623,0.800217618,0.371516796,235
0.831999824,0.448155236,0.612278241,-0.008898381,0.800217618,0.371516796,235
-0.250780771,0.5811853,0.612278241,-0.060863882,-1.1847247,0.778232815,264
-0.46733689,0.5811853,0.612278241,-0.060863882,-1.1847247,0.778232815,264
-0.683893009,0.5811853,0.612278241,-0.060863882,-1.1847247,0.778232815,264
0.615443705,2.60884354,0.612278241,-0.112829384,-1.1847247,1.32052084,265
0.398887586,2.60884354,0.612278241,-0.112829384,-1.1847247,1.32052084,265
-0.034224652,-0.104969767,0.582135595,-0.076453533,0.800217618,-1.662063299,232
0.453026616,0.404745426,0.582135595,-0.242743138,0.800217618,-1.662063299,233
0.831999824,-0.109170717,0.582135595,-0.092043183,0.800217618,-1.797635305,232
1.265112061,-0.109170717,0.582135595,-0.092043183,0.800217618,-1.797635305,232
1.048555943,-0.109170717,0.582135595,-0.092043183,0.800217618,-1.797635305,232
1.048555943,0.448155236,0.582135595,0.043067121,0.800217618,-1.797635305,233
0.615443705,1.264539734,0.582135595,0.095032623,0.800217618,-1.797635305,233
0.182331467,1.264539734,0.582135595,0.095032623,0.800217618,-1.797635305,233
0.182331467,1.562807141,0.582135595,0.146998124,0.800217618,-0.035199223,231
1.265112061,-0.104969767,0.582135595,-0.138812135,0.800217618,0.371516796,233
1.048555943,-0.104969767,0.582135595,-0.138812135,0.800217618,0.371516796,233
1.265112061,-0.40883844,0.582135595,0.095032623,0.800217618,0.778232815,233
1.048555943,0.592387832,0.582135595,-0.008898381,-1.1847247,1.32052084,262
-0.683893009,1.291145747,0.582135595,0.095032623,0.800217618,1.32052084,225
-0.034224652,0.5811853,0.551992949,0.00149472,0.800217618,-1.662063299,231
-0.250780771,0.5811853,0.551992949,0.00149472,0.800217618,-1.662063299,231
0.182331467,-0.106370084,0.551992949,0.095032623,0.800217618,-1.662063299,230
1.265112061,-0.40883844,0.551992949,-0.060863882,0.800217618,-1.25534728,233
0.398887586,0.5811853,0.551992949,-0.102436283,0.800217618,-1.797635305,231
-0.46733689,0.5811853,0.551992949,-0.024488031,0.800217618,0.778232815,230
0.615443705,0.5811853,0.551992949,-0.055667332,0.800217618,0.23594479,230
1.265112061,0.592387832,0.551992949,-0.060863882,-1.1847247,1.184948834,259
1.265112061,-0.137177046,0.521850302,0.095032623,0.800217618,-1.662063299,228
0.831999824,-0.106370084,0.521850302,-0.060863882,0.800217618,-1.662063299,228
0.398887586,-0.106370084,0.521850302,-0.060863882,0.800217618,-1.662063299,228
0.453026616,0.404745426,0.521850302,0.069049872,0.800217618,-1.25534728,227
1.265112061,0.3515334,0.521850302,-0.060863882,0.800217618,0.371516796,228
0.453026616,1.272941633,0.521850302,0.100229173,-1.1847247,0.371516796,253
1.265112061,-0.40883844,0.521850302,0.095032623,0.800217618,1.727236859,228
0.615443705,-0.40883844,0.521850302,0.095032623,0.800217618,1.727236859,228
0.398887586,-0.40883844,0.521850302,-0.060863882,0.800217618,1.727236859,228
0.453026616,-0.104969767,0.491707656,-0.060863882,0.800217618,-1.662063299,224
-0.250780771,-0.104969767,0.491707656,-0.060863882,0.800217618,-1.662063299,224
1.265112061,-0.40883844,0.491707656,-0.112829384,0.800217618,-1.25534728,226
-0.250780771,1.272941633,0.491707656,0.198963626,-1.1847247,-1.25534728,248
0.831999824,0.448155236,0.491707656,-0.008898381,0.800217618,-1.797635305,226
-0.034224652,0.5811853,0.491707656,0.01188782,0.800217618,0.371516796,226
-0.46733689,0.5811853,0.491707656,0.01188782,0.800217618,0.371516796,226
0.453026616,0.404745426,0.491707656,0.069049872,0.800217618,0.371516796,226
1.265112061,0.3515334,0.491707656,-0.060863882,0.800217618,0.371516796,226
0.453026616,1.272941633,0.491707656,0.100229173,-1.1847247,0.371516796,250
0.398887586,0.5811853,0.491707656,-0.055667332,0.800217618,0.23594479,226
-0.250780771,-0.124574198,0.491707656,0.095032623,0.800217618,1.32052084,224
-0.034224652,1.562807141,0.491707656,0.043067121,0.800217618,1.456092847,224
1.265112061,-0.40883844,0.491707656,0.043067121,0.800217618,1.727236859,226
0.453026616,-0.104969767,0.46156501,0.095032623,0.800217618,-1.662063299,224
1.265112061,-0.124574198,0.46156501,0.043067121,0.800217618,-1.662063299,223
1.048555943,-0.124574198,0.46156501,-0.060863882,0.800217618,-1.662063299,223
-0.683893009,1.251936886,0.46156501,0.043067121,0.800217618,-0.848631261,217
0.831999824,-0.104969767,0.46156501,-0.092043183,0.800217618,-0.306343235,223
1.265112061,-0.104969767,0.46156501,-0.092043183,0.800217618,-0.306343235,223
1.048555943,-0.104969767,0.46156501,-0.092043183,0.800217618,-0.306343235,223
-0.46733689,0.5811853,0.46156501,-0.076453533,0.800217618,-0.306343235,223
-0.683893009,0.5811853,0.46156501,-0.076453533,0.800217618,-0.306343235,223
-0.46733689,1.251936886,0.46156501,-0.112829384,-1.1847247,0.100372784,199
1.048555943,0.294120425,0.46156501,0.043067121,-1.1847247,0.371516796,246
1.265112061,-0.106370084,0.46156501,0.043067121,0.800217618,0.371516796,223
0.615443705,-0.106370084,0.46156501,0.043067121,0.800217618,0.371516796,223
1.265112061,0.3515334,0.46156501,-0.060863882,0.800217618,0.371516796,223
0.831999824,-0.104969767,0.46156501,-0.024488031,0.800217618,0.23594479,221
0.615443705,-0.104969767,0.46156501,-0.024488031,0.800217618,0.23594479,221
0.398887586,-0.104969767,0.46156501,-0.024488031,0.800217618,0.23594479,222
1.265112061,-0.40883844,0.46156501,0.095032623,0.800217618,1.727236859,223
1.048555943,-0.114771983,0.431422363,-0.008898381,-1.1847247,-1.662063299,246
0.615443705,-0.114771983,0.431422363,-0.008898381,-1.1847247,-1.662063299,246
0.398887586,-0.114771983,0.431422363,-0.008898381,-1.1847247,-1.662063299,246
0.453026616,-0.104969767,0.431422363,-0.060863882,0.800217618,-1.662063299,221
0.453026616,-0.118972932,0.431422363,0.095032623,0.800217618,-1.662063299,218
-0.250780771,-0.104969767,0.431422363,-0.060863882,0.800217618,-1.662063299,221
1.265112061,-0.124574198,0.431422363,-0.060863882,0.800217618,-1.662063299,221
